subject,od-leftHipp,od-rightHipp,od-pcc,icvf-leftHipp,icvf-rightHipp,icvf-pcc,isovf-leftHipp,isovf-rightHipp,isovf-pcc
sub-10317,0.605048 ,0.618227 ,0.442043 ,0.718944 ,0.696754 ,0.679412 ,0.347244 ,0.343731 ,0.200118 
sub-10369,0.623138 ,0.598478 ,0.393534 ,0.618813 ,0.663797 ,0.594208 ,0.258034 ,0.301330 ,0.150537 
sub-10402,0.653270 ,0.675727 ,0.422951 ,0.716824 ,0.761084 ,0.599540 ,0.389041 ,0.418923 ,0.171297 
sub-10418,0.638384 ,0.585425 ,0.495880 ,0.798862 ,0.751557 ,0.655387 ,0.364536 ,0.328201 ,0.278872 
sub-10462,0.579050 ,0.554314 ,0.503268 ,0.640839 ,0.652019 ,0.651931 ,0.258443 ,0.285690 ,0.236184 
sub-10478,0.513537 ,0.486033 ,0.451376 ,0.570127 ,0.539067 ,0.553000 ,0.208525 ,0.189124 ,0.126364 
sub-10486,0.548409 ,0.533212 ,0.406198 ,0.536651 ,0.559938 ,0.502025 ,0.200390 ,0.214251 ,0.110740 
sub-10529,0.594360 ,0.578611 ,0.502905 ,0.622436 ,0.608762 ,0.554021 ,0.271220 ,0.285243 ,0.160676 
sub-10541,0.645568 ,0.626669 ,0.495955 ,0.773811 ,0.730593 ,0.702403 ,0.406016 ,0.331781 ,0.231743 
sub-10559,0.644721 ,0.644944 ,0.510833 ,0.729850 ,0.734134 ,0.746837 ,0.293057 ,0.285199 ,0.180338 
sub-10572,0.641361 ,0.594439 ,0.558410 ,0.749175 ,0.700544 ,0.687930 ,0.334438 ,0.281420 ,0.266180 
sub-10581,0.930372 ,0.931243 ,0.477345 ,0.086152 ,0.105593 ,0.648857 ,0.024437 ,0.030233 ,0.271636 
sub-10585,0.615656 ,0.560687 ,0.474708 ,0.766877 ,0.717212 ,0.678966 ,0.339091 ,0.314565 ,0.237730 
sub-10589,0.624727 ,0.580494 ,0.397791 ,0.588536 ,0.619429 ,0.554768 ,0.206109 ,0.229365 ,0.121261 
sub-10590,0.531316 ,0.556456 ,0.408005 ,0.581424 ,0.601166 ,0.622361 ,0.180341 ,0.241876 ,0.175576 
sub-10596,0.532241 ,0.533994 ,0.447561 ,0.581376 ,0.640090 ,0.605114 ,0.203217 ,0.258001 ,0.152818 
sub-10603,0.575133 ,0.529198 ,0.488401 ,0.553373 ,0.598810 ,0.545502 ,0.224632 ,0.244458 ,0.149205 
sub-10606,0.568271 ,0.525535 ,0.453859 ,0.586815 ,0.637513 ,0.626743 ,0.249454 ,0.284500 ,0.218798 
sub-10608,0.528887 ,0.489628 ,0.455519 ,0.598738 ,0.630113 ,0.580257 ,0.227653 ,0.243115 ,0.135603 
sub-10617,0.615863 ,0.593316 ,0.448827 ,0.773323 ,0.688221 ,0.659216 ,0.316034 ,0.288475 ,0.220837 
sub-10636,0.576766 ,0.541716 ,0.475524 ,0.542739 ,0.543784 ,0.501587 ,0.259282 ,0.248620 ,0.140810 
sub-10638,0.575760 ,0.569664 ,0.469998 ,0.668470 ,0.609915 ,0.617371 ,0.270443 ,0.266148 ,0.239335 
sub-10640,0.603642 ,0.570689 ,0.422941 ,0.666200 ,0.584530 ,0.675804 ,0.312569 ,0.220965 ,0.188282 
sub-10641,0.637840 ,0.618965 ,0.426891 ,0.653699 ,0.622222 ,0.629144 ,0.228308 ,0.220060 ,0.136002 
sub-10642,0.564362 ,0.544151 ,0.493478 ,0.566649 ,0.571070 ,0.592124 ,0.213270 ,0.202075 ,0.149380 
sub-10644,0.570629 ,0.582736 ,0.409325 ,0.661578 ,0.655114 ,0.665941 ,0.261103 ,0.271908 ,0.250411 
sub-10647,0.560068 ,0.535460 ,0.388814 ,0.570393 ,0.543924 ,0.590503 ,0.187559 ,0.220201 ,0.147098 
sub-10649,0.594116 ,0.568475 ,0.408355 ,0.611777 ,0.587732 ,0.582349 ,0.242198 ,0.227267 ,0.153444 
sub-10652,0.601255 ,0.538550 ,0.379651 ,0.651750 ,0.610004 ,0.654122 ,0.244685 ,0.240106 ,0.175803 
sub-10656,0.521264 ,0.538611 ,0.416544 ,0.577451 ,0.558242 ,0.567243 ,0.269229 ,0.261104 ,0.147551 
sub-10657,0.650565 ,0.648037 ,0.507865 ,0.784862 ,0.802413 ,0.729697 ,0.394493 ,0.417297 ,0.297586 
sub-10661,0.598848 ,0.613926 ,0.559858 ,0.557673 ,0.667266 ,0.560639 ,0.221361 ,0.276192 ,0.212641 
sub-10663,0.575572 ,0.562725 ,0.414602 ,0.540147 ,0.649938 ,0.540715 ,0.249365 ,0.312056 ,0.125335 
sub-10668,0.614824 ,0.569371 ,0.471564 ,0.621413 ,0.606107 ,0.570690 ,0.303097 ,0.287216 ,0.183097 
sub-10673,0.573416 ,0.549966 ,0.449627 ,0.638112 ,0.670993 ,0.724163 ,0.262999 ,0.261007 ,0.246115 
sub-10674,0.623732 ,0.626676 ,0.478180 ,0.586527 ,0.600327 ,0.510779 ,0.224658 ,0.241600 ,0.135608 
sub-10677,0.589140 ,0.587146 ,0.421637 ,0.554786 ,0.567610 ,0.542064 ,0.210470 ,0.230755 ,0.117893 
sub-10685,0.576582 ,0.599068 ,0.395311 ,0.667981 ,0.685340 ,0.638632 ,0.283456 ,0.331139 ,0.155442 
sub-10690,0.622702 ,0.573149 ,0.377012 ,0.729011 ,0.742851 ,0.758790 ,0.300798 ,0.287297 ,0.268359 
sub-10691,0.595326 ,0.537958 ,0.454979 ,0.639803 ,0.613415 ,0.698310 ,0.231240 ,0.218511 ,0.184295 
sub-10700,0.605118 ,0.564205 ,0.506473 ,0.560335 ,0.548993 ,0.514086 ,0.225043 ,0.230549 ,0.123057 
sub-10701,0.590381 ,0.576510 ,0.470612 ,0.663692 ,0.579182 ,0.574345 ,0.316940 ,0.226524 ,0.138213 
sub-10713,0.686001 ,0.680320 ,0.463800 ,0.763039 ,0.743283 ,0.665073 ,0.311592 ,0.290729 ,0.262530 
sub-10716,0.659907 ,0.606730 ,0.405716 ,0.640217 ,0.666393 ,0.668332 ,0.348721 ,0.342196 ,0.233536 
sub-10718,0.563322 ,0.526642 ,0.363467 ,0.606983 ,0.569876 ,0.621865 ,0.273878 ,0.229650 ,0.159336 
sub-10720,0.557181 ,0.543382 ,0.416526 ,0.525408 ,0.574224 ,0.551568 ,0.218293 ,0.261077 ,0.130874 
sub-10723,0.607767 ,0.604967 ,0.458089 ,0.674618 ,0.715672 ,0.601736 ,0.319616 ,0.370848 ,0.154179 
sub-10741,0.562105 ,0.571755 ,0.405928 ,0.609682 ,0.616814 ,0.561740 ,0.248231 ,0.261841 ,0.113561 
sub-10748,0.556419 ,0.559240 ,0.390934 ,0.560762 ,0.601199 ,0.577329 ,0.212898 ,0.234116 ,0.131544 
sub-10767,0.493568 ,0.512692 ,0.422181 ,0.488642 ,0.537751 ,0.507823 ,0.161557 ,0.192308 ,0.115601 
sub-10770,0.646153 ,0.625451 ,0.423694 ,0.649042 ,0.601068 ,0.639491 ,0.308368 ,0.274286 ,0.191982 
sub-10777,0.552940 ,0.576666 ,0.516370 ,0.675548 ,0.699084 ,0.665403 ,0.218209 ,0.232886 ,0.194006 
sub-10781,0.611500 ,0.603551 ,0.497407 ,0.745784 ,0.696529 ,0.754366 ,0.338603 ,0.291331 ,0.287375 
sub-10783,0.627569 ,0.590732 ,0.433363 ,0.781775 ,0.755155 ,0.674908 ,0.347678 ,0.324752 ,0.221936 
sub-10785,0.610068 ,0.620540 ,0.438933 ,0.727399 ,0.667432 ,0.665091 ,0.310815 ,0.279276 ,0.226029 
sub-10794,0.653142 ,0.626482 ,0.436964 ,0.664371 ,0.660311 ,0.594884 ,0.265898 ,0.284150 ,0.109679 
sub-10800,0.616915 ,0.573144 ,0.506032 ,0.556027 ,0.589761 ,0.569964 ,0.221698 ,0.241555 ,0.184568 
sub-10801,0.504721 ,0.534138 ,0.406851 ,0.549052 ,0.610825 ,0.570062 ,0.141814 ,0.229476 ,0.124212 
sub-10802,0.579072 ,0.582480 ,0.405855 ,0.620364 ,0.593330 ,0.683270 ,0.244051 ,0.218271 ,0.223579 
sub-10803,0.564374 ,0.558087 ,0.468908 ,0.534076 ,0.534562 ,0.494646 ,0.240724 ,0.295250 ,0.138099 
sub-10804,0.591184 ,0.547080 ,0.457979 ,0.566595 ,0.554842 ,0.508785 ,0.224441 ,0.207874 ,0.104651 
sub-10806,0.539073 ,0.555276 ,0.376224 ,0.627253 ,0.657141 ,0.629864 ,0.255197 ,0.303369 ,0.160987 
sub-10807,0.699784 ,0.708727 ,0.440385 ,0.769127 ,0.835845 ,0.711291 ,0.356912 ,0.390626 ,0.233357 
sub-10809,0.641429 ,0.649894 ,0.389293 ,0.680941 ,0.724090 ,0.638171 ,0.390274 ,0.450085 ,0.219406 
sub-10810,0.666356 ,0.662343 ,0.525372 ,0.802034 ,0.750286 ,0.655247 ,0.386011 ,0.365850 ,0.246381 
sub-10812,0.651581 ,0.608379 ,0.501615 ,0.734912 ,0.722735 ,0.685122 ,0.406824 ,0.353615 ,0.275240 
sub-10817,0.567449 ,0.536564 ,0.351088 ,0.574383 ,0.563788 ,0.597489 ,0.237484 ,0.195428 ,0.136667 
sub-10827,0.560357 ,0.548173 ,0.447629 ,0.588540 ,0.609625 ,0.532631 ,0.235320 ,0.254716 ,0.118009 
sub-10831,0.576561 ,0.518516 ,0.417120 ,0.614466 ,0.623894 ,0.583954 ,0.280211 ,0.287830 ,0.128542 
sub-10834,0.601905 ,0.595261 ,0.429469 ,0.655997 ,0.702586 ,0.679482 ,0.252324 ,0.289588 ,0.229211 
sub-10836,0.563124 ,0.535649 ,0.401543 ,0.590764 ,0.635382 ,0.608809 ,0.205416 ,0.249185 ,0.160865 
sub-10838,0.540739 ,0.549446 ,0.456756 ,0.629670 ,0.596454 ,0.592688 ,0.216296 ,0.217872 ,0.161679 
sub-10843,0.590356 ,0.578394 ,0.483184 ,0.596937 ,0.633554 ,0.562009 ,0.295819 ,0.352273 ,0.168241 
sub-10850,0.597041 ,0.568406 ,0.409125 ,0.702372 ,0.659544 ,0.636468 ,0.298715 ,0.275476 ,0.175175 
sub-10854,0.621619 ,0.632318 ,0.499351 ,0.649007 ,0.700244 ,0.633397 ,0.291068 ,0.298754 ,0.165007 
sub-10857,0.543245 ,0.581701 ,0.466113 ,0.597003 ,0.671961 ,0.517459 ,0.262289 ,0.384615 ,0.196595 
sub-10858,0.678137 ,0.683367 ,0.461047 ,0.791896 ,0.761129 ,0.722348 ,0.581247 ,0.513810 ,0.362671 
sub-10860,0.635536 ,0.584658 ,0.435079 ,0.679389 ,0.639339 ,0.729698 ,0.304788 ,0.284804 ,0.259615 
sub-10862,0.611164 ,0.582783 ,0.455602 ,0.718197 ,0.731249 ,0.691619 ,0.315259 ,0.341222 ,0.297153 
sub-10863,0.543061 ,0.541211 ,0.383403 ,0.562017 ,0.574407 ,0.564830 ,0.194286 ,0.185810 ,0.121279 
sub-10866,0.656576 ,0.665070 ,0.456678 ,0.783824 ,0.763798 ,0.598585 ,0.419573 ,0.471673 ,0.209995 
sub-10875,0.611114 ,0.605329 ,0.482391 ,0.685947 ,0.674994 ,0.735494 ,0.266146 ,0.275773 ,0.229088 
sub-10881,0.699863 ,0.667496 ,0.588239 ,0.756640 ,0.718293 ,0.634034 ,0.385587 ,0.355044 ,0.238919 
sub-10886,0.643713 ,0.628101 ,0.557714 ,0.726460 ,0.711942 ,0.684057 ,0.344378 ,0.351928 ,0.246194 
sub-10887,0.590610 ,0.608502 ,0.536996 ,0.538972 ,0.547422 ,0.500650 ,0.187386 ,0.190870 ,0.133684 
sub-10896,0.589057 ,0.590003 ,0.427639 ,0.590669 ,0.575052 ,0.600453 ,0.209631 ,0.224074 ,0.176354 
sub-10897,0.507699 ,0.528727 ,0.464773 ,0.602280 ,0.632317 ,0.600498 ,0.213912 ,0.284379 ,0.220762 
sub-10898,0.689801 ,0.674304 ,0.461155 ,0.784445 ,0.778921 ,0.767986 ,0.330211 ,0.342195 ,0.285899 
sub-10908,0.679204 ,0.684499 ,0.434894 ,0.788330 ,0.815380 ,0.753121 ,0.398889 ,0.405020 ,0.288168 
sub-10913,0.607933 ,0.609601 ,0.413483 ,0.677447 ,0.656067 ,0.654845 ,0.326917 ,0.327834 ,0.258250 
sub-10918,0.561091 ,0.539574 ,0.414815 ,0.566785 ,0.602216 ,0.544775 ,0.281103 ,0.323894 ,0.140556 
sub-10919,0.561947 ,0.558845 ,0.449025 ,0.627307 ,0.665583 ,0.642266 ,0.258473 ,0.261504 ,0.176719 
sub-10924,0.620242 ,0.630661 ,0.397909 ,0.675428 ,0.678137 ,0.621343 ,0.355762 ,0.305107 ,0.173858 
sub-10928,0.636816 ,0.596713 ,0.388166 ,0.692660 ,0.667330 ,0.641374 ,0.325820 ,0.278185 ,0.188099 
sub-10930,0.584525 ,0.569307 ,0.409314 ,0.690489 ,0.682326 ,0.631043 ,0.306932 ,0.299455 ,0.158997 
sub-10938,0.576442 ,0.578872 ,0.444343 ,0.591255 ,0.658075 ,0.587601 ,0.226716 ,0.283627 ,0.222680 
sub-10940,0.556943 ,0.544372 ,0.449733 ,0.529743 ,0.581736 ,0.511273 ,0.252602 ,0.269399 ,0.113263 
sub-10950,0.563713 ,0.553168 ,0.415341 ,0.566462 ,0.583475 ,0.544128 ,0.261864 ,0.279369 ,0.139071 
sub-10952,0.612956 ,0.601222 ,0.486970 ,0.554968 ,0.601090 ,0.578996 ,0.204635 ,0.233933 ,0.131478 
sub-10953,0.667068 ,0.659010 ,0.421050 ,0.727825 ,0.719732 ,0.786108 ,0.331094 ,0.295216 ,0.275376 
sub-10954,0.587160 ,0.603890 ,0.484276 ,0.580712 ,0.663198 ,0.603564 ,0.196001 ,0.305300 ,0.162259 
sub-10956,0.507438 ,0.515844 ,0.384409 ,0.528758 ,0.530760 ,0.545932 ,0.194709 ,0.222370 ,0.150076 
sub-10958,0.590453 ,0.576880 ,0.430992 ,0.629541 ,0.647913 ,0.619463 ,0.256826 ,0.298118 ,0.188762 
sub-10961,0.593731 ,0.576928 ,0.423079 ,0.702056 ,0.689980 ,0.604087 ,0.260065 ,0.267254 ,0.153345 
sub-10964,0.654048 ,0.623032 ,0.560076 ,0.748090 ,0.737655 ,0.694878 ,0.287287 ,0.306651 ,0.261534 
sub-10966,0.574086 ,0.592088 ,0.514798 ,0.493452 ,0.520020 ,0.484384 ,0.155300 ,0.172614 ,0.128676 
sub-10969,0.532963 ,0.519865 ,0.375905 ,0.553898 ,0.569187 ,0.649696 ,0.226468 ,0.227941 ,0.192708 
sub-10974,0.608483 ,0.569346 ,0.446908 ,0.710614 ,0.602747 ,0.688205 ,0.425146 ,0.328476 ,0.304023 
sub-10977,0.545652 ,0.528029 ,0.393063 ,0.578681 ,0.659060 ,0.584369 ,0.201890 ,0.301584 ,0.178143 
sub-10979,0.529808 ,0.513829 ,0.394063 ,0.559250 ,0.571510 ,0.549081 ,0.195220 ,0.231910 ,0.134934 
sub-10983,0.564928 ,0.563633 ,0.411572 ,0.652702 ,0.660207 ,0.627007 ,0.245060 ,0.263796 ,0.169186 
sub-10984,0.612426 ,0.618582 ,0.390429 ,0.649494 ,0.687875 ,0.672688 ,0.300634 ,0.342926 ,0.223887 
